"operation_id,client_id,transaction_type,amount,currency,operation_date,operation_time,description,balance_after_transaction,channel"
"084301372,815879,withdrawal,2125.19,RUB,2/13/2024,7:49 AM,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,99206.87,online"
"253170253,945594,transfer,766.19,IDR,10/7/2024,7:32 AM,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,864746.73,online"
"061020977,379034,transfer,9088.8,CAD,1/6/2025,4:13 PM,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,990659.28,online"
"074913712,846163,payment,3184.71,RUB,5/28/2024,11:27 AM,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,539496.24,online"
"111104785,583607,payment,4317.99,RUB,7/5/2024,12:00 AM,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,963651.97,branch"
"052000016,970656,withdrawal,8262.88,EUR,7/16/2025,7:17 AM,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,187052.71,ATM"
"053112479,221931,transfer,7489.48,RUB,8/18/2025,5:27 AM,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed,897777.54,branch"
"321181200,672235,transfer,7944.72,KES,5/12/2025,7:25 PM,in imperdiet et commodo vulputate justo in blandit ultrices enim,923443.17,online"
"063104312,366894,withdrawal,8628.38,COP,10/29/2025,8:28 PM,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare,934439.73,ATM"
"041001039,147258,withdrawal,323.35,IDR,7/23/2024,6:13 PM,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,829422.56,ATM"
"111916326,900845,transfer,9422.29,AFN,1/24/2024,1:55 PM,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat,957106.01,ATM"
"123103729,402477,deposit,5052.7,EUR,1/30/2024,9:04 AM,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,685072.64,online"
"011201458,104801,withdrawal,4051.2,CAD,3/21/2024,10:44 PM,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum,176502.56,ATM"
"322283796,946329,withdrawal,4408.73,KMF,9/22/2025,9:50 AM,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,895072.51,branch"
"065106619,54641,payment,4632.45,CNY,9/2/2025,12:01 PM,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,793976.45,branch"
"103102229,828450,transfer,6063.72,SEK,3/22/2025,5:39 PM,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue,243924.88,branch"
"053207902,741463,withdrawal,1413.85,RUB,11/4/2025,12:43 PM,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,262771.89,online"
"322282292,982903,deposit,245.3,EUR,7/15/2025,3:59 AM,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,18243.85,online"
"273970365,186869,withdrawal,1484.99,USD,1/5/2024,8:58 PM,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget,213470.24,online"
"103101152,915841,deposit,2351.42,XOF,7/9/2024,5:57 PM,lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl,122254.11,ATM"
"101105817,397474,withdrawal,5394.27,SEK,7/18/2024,11:38 PM,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,430708.15,online"
"055002341,312437,deposit,7489.47,PHP,11/30/2024,1:09 AM,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,810927.58,online"
"084301518,369481,deposit,8979.94,CZK,8/2/2024,2:56 AM,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,148435.35,branch"
"081921551,139708,deposit,2713.82,EUR,5/15/2024,10:53 PM,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,690525.56,ATM"
"081211135,725751,payment,4416.6,EUR,10/5/2024,6:35 PM,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,250726.94,online"
"092005518,41190,withdrawal,2411.02,MZN,2/24/2024,8:14 AM,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,439102.02,ATM"
"111907788,750768,deposit,1182.29,CNY,6/12/2024,10:23 AM,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,693412.28,ATM"
"073917887,45014,payment,9499.08,CNY,6/12/2024,2:18 PM,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis,885449.89,online"
